date,humidity,temp,pressure
19961119-09:00,26,25,1016
19961119-10:00,24,25,1015
19961119-11:00,33,23,1015
19961119-12:00,40,19,1016
19961119-13:00,52,17,1016
19961119-15:00,55,17,1017
19961119-16:00,63,16,1017
19961119-17:00,59,17,1017
19961119-18:00,63,16,1017
19961119-19:00,63,16,1016
19961119-20:00,72,16,1015
19961119-21:00,77,15,-9999
19961119-22:00,68,17,1015
19961119-23:00,72,17,1016
19961120-00:00,72,17,1016
19961120-01:00,72,17,1018
19961120-02:00,60,22,1019
19961120-03:00,68,19,-9999
19961120-05:00,50,22,1020
19961120-06:00,53,23,1019
19961120-08:00,44,25,1017
19961120-09:00,44,25,1016
19961120-10:00,50,23,1016
19961120-11:00,57,22,1016
19961120-12:00,60,21,1016
19961120-13:00,68,20,1017
19961120-14:00,64,21,1017
19961120-15:00,68,20,1018
19961120-16:00,64,20,1018
19961120-17:00,56,19,1018
19961120-18:00,52,19,1018
19961120-19:00,68,16,1015
19961120-20:00,63,17,1017
19961120-21:00,68,16,1016
19961120-22:00,77,14,1016
19961120-23:00,72,14,1016
19961121-01:00,72,14,1018
19961121-02:00,63,15,1018
19961121-03:00,63,15,1019
19961121-04:00,63,16,1019
19961121-05:00,60,19,1019
19961121-06:00,53,22,1018
19961121-07:00,53,23,1017
19961121-08:00,47,25,1016
19961121-09:00,44,25,1016
19961121-10:00,41,25,1015
19961121-12:00,64,20,1015
19961121-13:00,68,19,1016
19961121-14:00,64,19,1016
19961121-15:00,64,19,1017
19961121-16:00,68,17,1017
19961121-17:00,55,17,1017
19961121-18:00,52,16,1017
19961121-19:00,55,15,1016
19961121-20:00,63,13,1015
19961121-21:00,63,13,1015
19961121-22:00,71,11,1015
19961121-23:00,76,11,1015
19961122-00:00,71,11,1015
19961122-02:00,62,12,1017
19961122-03:00,72,12,1017
19961122-04:00,48,16,1017
19961122-05:00,40,19,1017
19961122-10:00,29,23,1014
19961122-11:00,35,21,1014
19961122-12:00,40,19,1014
19961122-13:00,52,16,1015
19961122-14:00,55,15,1016
19961122-15:00,55,14,1016
19961122-16:00,59,15,1016
19961122-17:00,67,13,1016
19961122-18:00,67,13,1016
19961122-19:00,63,13,1016
19961122-21:00,67,12,1016
19961122-22:00,67,12,1016
19961122-23:00,67,12,1016
19961123-01:00,67,12,1017
19961123-02:00,59,14,1017
19961123-03:00,59,14,1018
19961123-04:00,48,17,1018
19961123-05:00,40,19,1018
19961123-06:00,43,20,1017
19961123-07:00,35,21,1016
19961123-08:00,33,22,1015
19961123-09:00,33,23,1014
19961123-10:00,31,22,1014
19961123-11:00,38,21,1014
19961123-12:00,43,19,1014
19961123-13:00,52,17,1015
19961123-14:00,55,16,1015
19961123-15:00,59,15,1015
19961123-16:00,55,15,1015
19961123-17:00,63,14,1015
19961123-18:00,63,14,1015
19961123-19:00,63,13,1016
